,Static_Dram,Static_Processor,Dynamic_Dram,Dynamic_Processor
28nm:BVSS:1MB,0.2783131,3.338094,0.21546990000000005,24.4782
28nm:BVSS:2MB,0.2745563,3.477804,0.2034707,25.1028
28nm:BVSS:0.5MB,0.2769491,3.275685,0.21934189999999998,23.3164
45nm:BVSS:1MB,0.8176432,11.228539999999999,0.9749167999999999,44.2308
28nm:CXBV:1MB,0.29568320000000003,3.338094,0.3623748,19.4302
28nm:CXBV:2MB,0.2957308,3.477804,0.3610522,20.252
28nm:CXBV:0.5MB,0.2949001,3.275685,0.36157190000000006,16.735
45nm:CXBV:1MB,0.9604513,11.228539999999999,1.6663487,35.5963
28nm:CXFD:1MB,0.2993792,3.338094,0.5322988,12.6676
28nm:CXFD:2MB,0.2986021,3.477804,0.5249239,13.8381
28nm:CXFD:0.5MB,0.3071832,3.275685,0.6107338,10.4056
45nm:CXFD:1MB,0.9640323,11.228539999999999,2.4976977000000002,22.7396
28nm:RFFB:1MB,0.2310473,3.338094,0.07627669999999998,15.6564
28nm:RFFB:2MB,0.228258,3.477804,0.06995799999999999,15.8611
28nm:RFFB:0.5MB,0.2344253,3.275685,0.08529769999999998,15.4116
45nm:RFFB:1MB,0.3954834,11.228539999999999,0.3390306,27.6253
28nm:BVSS:4MB,0.2633561,3.778699,0.14219990000000005,26.9719
45nm:BVSS:2MB,0.809303,12.04278,0.9208869999999999,45.8834
28nm:CXBV:4MB,0.2917838,3.778699,0.31922620000000007,22.6081
45nm:CXBV:2MB,0.9618650999999999,12.04278,1.6485449,36.989
28nm:CXFD:4MB,0.2984673,3.778699,0.5217627,14.5164
45nm:CXFD:2MB,0.9552212,12.04278,2.4510288,24.7995
28nm:RFFB:4MB,0.2259992,3.778699,0.06433879999999997,15.9494
45nm:RFFB:2MB,0.3711694,12.04278,0.3123176,27.9176
45nm:BVSS:4MB,0.6935409,13.63265,0.6370991,49.1367
45nm:CXBV:4MB,0.9343961,13.63265,1.4414439000000003,41.3245
45nm:CXFD:4MB,0.9528054,13.63265,2.4232146,25.9102
45nm:RFFB:4MB,0.34963619999999995,13.63265,0.2860498,28.0524
45nm:BVSS:0.5MB,0.8805074,10.64109,1.2162526000000002,39.7597
45nm:CXBV:0.5MB,0.9600884000000001,10.64109,1.6963515999999998,29.6835
45nm:CXFD:0.5MB,1.0139373,10.64109,2.8107626999999997,19.4604
45nm:RFFB:0.5MB,0.4420074,10.64109,0.39666759999999995,27.1475
65nm:BVSS:1MB,0.4276315,11.05312,0.37600649999999997,98.7855
65nm:CXBV:1MB,0.5303755,11.05312,0.6363845,78.4807
65nm:CXFD:1MB,0.5842996,11.05312,1.0046304,48.395
